"eco_values","species","latitude","longitude","date_obs","source","occurrence_id","tmax_mean_c","prec_mean_annual","current_july_temp_c","future_july_2050_c","july_temp_change_c","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","NDVI"
55,"Ursus arctos",52.079846,-116.736952,2025-05-31,"gbif",74,-0.92692307692306,81.5,8.85000000000002,11.85,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",2392,0.1613
55,"Ursus arctos",61.330497,-138.655742,2026-05-15,"gbif",28,-0.219230769230762,19,12.7500000000001,15.65,2.89999999999998,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1014,0.4797
55,"Ursus arctos",51.217613,-116.064354,2026-05-04,"gbif",9,4.03461538461539,55.5,13.05,16.05,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1784,0.6188
55,"Ursus arctos",51.294881,-115.880044,2026-05-11,"gbif",199,0.826923076923094,46,9.65000000000003,12.7500000000001,3.10000000000002,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1973,0.5458
55,"Ursus arctos",58.375823,-122.713761,2026-05-30,"gbif",38,4.94230769230768,33.5,16.15,18.85,2.69999999999999,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",556,0.7026
55,"Ursus arctos",50.686216,-115.182644,2025-05-21,"gbif",89,3.4961538461539,67.5,11.95,14.95,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",2019,0.6286
55,"Ursus arctos",50.631268,-115.193331,2025-05-23,"gbif",258,4.44999999999999,76.5,13.05,16.05,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1992,0.6388
55,"Ursus arctos",59.19042,-125.927978,2026-05-08,"gbif",194,4.07307692307694,34,15.45,18.35,2.89999999999998,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",941,0.3201
55,"Ursus arctos",51.294881,-115.880044,2026-05-11,"gbif",18,0.826923076923094,46,9.65000000000003,12.7500000000001,3.10000000000002,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1973,0.5458
55,"Ursus maritimus",58.9784280764,-64.2309075533,2009-07-11,"inat",290,-6.87307692307689,62.5,11.35,12.35,1,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",304,0.0802
55,"Ursus arctos",51.433007,-116.360551,2025-05-15,"gbif",239,2.4961538461539,77.5,11.65,14.65,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1918,0.6504
55,"Ursus arctos",59.19042,-125.927978,2026-05-08,"gbif",13,4.07307692307694,34,15.45,18.35,2.89999999999998,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",941,0.3201
55,"Ursus arctos",50.851569649,-115.3671613669,2026-05-17,"inat",126,3.25769230769237,50.5,11.85,14.85,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1869,0.5974
55,"Ursus arctos",51.217613,-116.064354,2026-05-04,"gbif",190,4.03461538461539,55.5,13.05,16.05,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1784,0.6188
55,"Ursus arctos",51.433007,-116.360551,2025-05-15,"gbif",58,2.4961538461539,77.5,11.65,14.65,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1918,0.6504
55,"Ursus arctos horribilis",51.0804380787,-115.486845111,2026-05-04,"inat",154,2.56538461538463,33.5,11.15,14.2500000000001,3.10000000000002,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1867,0.6002
55,"Ursus arctos",59.190333,-125.9282,2025-05-02,"gbif",64,4.07307692307694,34,15.45,18.35,2.89999999999998,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",941,0.3201
55,"Ursus arctos",58.375823,-122.713761,2026-05-30,"gbif",219,4.94230769230768,33.5,16.15,18.85,2.69999999999999,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",556,0.7026
55,"Ursus arctos",61.791838,-139.630665,2025-05-18,"gbif",61,0.142307692307725,19,14.15,17.05,2.89999999999998,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",847,0.6285
55,"Ursus arctos",50.849707,-115.398535,2026-05-07,"gbif",31,3.28076923076924,54.5,11.95,14.95,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1901,0.6291
55,"Ursus arctos",51.054000906,-115.7583971471,2025-08-12,"inat",139,0.526923076923083,54.5,9.45000000000005,12.55,3.09999999999997,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",2210,0.0828
55,"Ursus arctos",50.631268,-115.193331,2025-05-23,"gbif",77,4.44999999999999,76.5,13.05,16.05,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1992,0.6388
55,"Ursus arctos",51.587476,-116.118228,2025-05-22,"gbif",243,1.11153846153849,53,9.95000000000005,12.95,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",2093,0.6124
55,"Ursus arctos",50.7273337133,-115.3764164609,2026-06-12,"inat",92,1.77307692307699,77,10.65,13.65,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",2236,0.5888
55,"Ursus arctos",60.57861,-137.34,2026-05-04,"gbif",10,1.02692307692308,21.5,14.2500000000001,16.55,2.29999999999995,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",723,0.0031
55,"Ursus arctos",51.280145,-117.420592,2026-05-18,"gbif",203,2.18076923076922,182.5,10.55,13.55,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1954,0.3249
